mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
0.279,0.105,0.072,0.45,0.026,0.019,17.0,16.0,18.0,114.0,1.15
-0.005,0.043,-0.091,0.077,0.01,0.007,20.0,20.0,19.0,199.0,1.14
-0.033,0.042,-0.116,0.038,0.007,0.005,40.0,40.0,40.0,72.0,1.07
-0.027,0.031,-0.085,0.022,0.006,0.004,30.0,30.0,25.0,565.0,1.11
-0.037,0.035,-0.103,0.024,0.005,0.004,42.0,42.0,33.0,1529.0,1.08
0.045,0.075,-0.07,0.194,0.023,0.016,11.0,11.0,10.0,68.0,1.29
0.037,0.071,-0.073,0.19,0.02,0.015,12.0,12.0,12.0,60.0,1.24
0.084,0.07,-0.043,0.207,0.019,0.014,13.0,13.0,14.0,175.0,1.21
-0.098,0.101,-0.283,0.03,0.047,0.036,5.0,5.0,6.0,30.0,1.97
0.219,0.098,0.069,0.399,0.028,0.02,12.0,12.0,14.0,734.0,1.22
-0.145,0.126,-0.383,0.089,0.01,0.007,152.0,152.0,99.0,1270.0,1.03
0.046,0.058,-0.054,0.15,0.015,0.011,14.0,14.0,14.0,974.0,1.19
-0.007,0.081,-0.147,0.152,0.012,0.009,44.0,44.0,29.0,1233.0,1.09
-0.039,0.046,-0.12,0.03,0.011,0.008,17.0,17.0,15.0,846.0,1.19
-0.087,0.062,-0.198,0.017,0.009,0.006,51.0,51.0,40.0,427.0,1.08
30.275,10.806,8.669,49.003,0.218,0.154,2465.0,2465.0,2374.0,1817.0,1.0
43.518,11.232,23.114,64.632,0.191,0.135,3448.0,3448.0,3543.0,1944.0,1.0
15.649,2.151,11.828,19.95,0.044,0.031,2349.0,2349.0,2399.0,1912.0,1.0
18.81,4.192,10.866,26.703,0.221,0.159,359.0,350.0,362.0,2056.0,1.01
17.779,1.034,15.97,19.77,0.017,0.012,3681.0,3681.0,3652.0,2596.0,1.0
24.218,1.922,20.666,27.801,0.11,0.078,303.0,303.0,312.0,998.0,1.02
26.708,4.393,18.532,35.395,0.084,0.059,2748.0,2748.0,2770.0,1897.0,1.0
13.956,7.921,3.853,27.81,1.227,0.917,42.0,38.0,67.0,62.0,1.05
14.13,8.072,3.328,29.268,0.974,0.716,69.0,64.0,92.0,109.0,1.04
10.799,0.599,9.645,11.895,0.011,0.008,3146.0,3146.0,3186.0,2206.0,1.0
25.149,7.202,10.954,38.037,0.161,0.114,1996.0,1996.0,2103.0,1095.0,1.0
11.528,0.962,9.768,13.386,0.016,0.011,3695.0,3695.0,3643.0,2350.0,1.0
16.107,7.263,6.136,30.238,0.158,0.112,2121.0,2121.0,1723.0,1841.0,1.0
11.31,1.143,9.1,13.385,0.021,0.015,3104.0,3104.0,3125.0,2359.0,1.0
15.786,4.381,7.534,23.983,0.114,0.081,1480.0,1480.0,1529.0,1887.0,1.01
20.317,1.55,17.442,23.321,0.025,0.018,3813.0,3813.0,3819.0,2701.0,1.0
20.978,1.702,17.773,24.138,0.031,0.022,2967.0,2967.0,2980.0,2412.0,1.0
